Site,Type,Region,Latitude,Longitude,Comments
Owabi Wildlife Sanctuary,Animal Santuary,Ashanti Region,6.751843,-1.710017,"Owabi Wildlife Sanctuary is a bird sanctuary, located in Kumasi, Ghana. "
Digya National Park,National Park,Brong-Ahafo Region,7.416667,-0.283333,Digya National Park is the second largest national park and the oldest protected area in Ghana. 
Bui National Park,National Park,Brong-Ahafo Region,8.3,-2.366667,Bui National Park is notable for its Hippopotamus population in the Black Volta.
Kakum National Park,National Park,Central Region,5.416667,-1.316667,"Kakum National Park is one of only 3 locations in Africa with a canopy walkway, which is 350 metres (1,150 ft) long and connects seven tree tops which provides access to the forest"
Aburi Botanical Gardens,National Park,Eastern Region,5.866667,-0.183333,Aburi Botanical Gardens is a botanical garden in Aburi in Eastern region of South Ghana.
Umbrella Rock,Natural Heritage Site,Eastern Region,6.158306,-0.199128,"The Umbrella Rock, as the name means, is a rock found at the site of the Boti Falls in Yilo Krobo District, Ghana"
Boti falls,Natural Heritage Site,Eastern Region,6.193,0.2166,Boti falls is a twin waterfall located at Boti in Manya Krobo in the Eastern Region of Ghana.
Shai Hills Resource Reserve,Natural Heritage Site,Greater Accra Region,5.909409,0.065348,Shai Hills Resource Reserve is a resource reserve located in Doryumu in the Shai Osudoku District all in the Greater Accra Region.
Mole National Park,National Park,Northern Region,9.7,-1.833333,Mole National Park is Ghana's largest wildlife refuge.
Mount Afadjato,Natural Heritage Site,Volta Region,7.144308,0.352275,"Mount Afadja is one of the highest mountains in Ghana standing at an elevation of 885 metres (2,904 ft). "
Wli waterfalls,Natural Heritage Site,Volta Region,7.124751,0.591844,Wli Waterfalls is the highest waterfall in Ghana and the tallest in West Africa.
Keta Lagoon,Natural Heritage Site,Volta Region,5.8879,0.8267,"Keta Lagoon, also called Anlo-Keta lagoon, is the largest of the over 90 lagoons that cover the 550 km stretch of the coastline of Ghana."
Bia National Park,National Park,Western Region,6.083333,-3.1,Bia National Park is a national park in the Western Region of Ghana.
Nini Suhien National Park,National Park,Western Region,5.266667,-2.566667,Nini Suhien National Park is part of the 500-square-kilometre (190 sq mi) Ankasa Conservation Area.
Nzulezo,Natural Heritage Site,Western Region,5.0208,-2.5979,"The village of Nzulezo is located near the village of Beyin, roughly 90 kilometers west of Takoradi, in the Jomoro District of the Western Region of Ghana"
Cape Coast Castle,Castle,Central Region,5.103333,-1.2425,"Cape Coast Castle is one of about forty ""slave castles"", or large commercial forts"
Fort Patience,Castle,Central Region,5.286,-0.7281,"Fort Patience is a Dutch-built fort located in the township of Apam, in the Central Region of Ghana."
Fort Amsterdam,Castle,Central Region,5.192222,-1.093056,"Fort Amsterdam is a fort in Kormantin, Central region, Ghana"
Elmina Castle,Castle,Central Region,5.0826,-1.3481,"Elmina Castle was the first trading post built on the Gulf of Guinea, and the oldest European building in existence south of the Sahara."
Wassa Domama rock shrine,Natural Heritage Site,Brong-Ahafo Region,7.2671,-2.8677,Wassa Domama rock shrine is an awe-inspiring nature shrine known as “Bosom Kese” or Great god. 
