Venue,Venue Latitude,Venue Longitude,Venue Category
Cape Coast Castle,5.103288783,-1.24130635,Tourist Information Center
Oasis Beach Resort,5.103258384,-1.243879585,Resort
Cape Coast Castle Restaurant,5.103470722,-1.241924138,African Restaurant
Baobab Vegetarian Bar,5.105170058,-1.241180875,Vegetarian / Vegan Restaurant
Emperor Ital Joint,5.103944778,-1.243075609,Vegetarian / Vegan Restaurant
Melcom Supermarket,5.107585867,-1.241851196,Department Store
Elmina Castle,5.082851389,-1.349276744,Historic Site
Elmina Slave Castle,5.082629276,-1.349648755,Art Gallery
Elmina Fish Market,5.082667723,-1.349097804,Flea Market
Elmina Fishing Harbor,5.082628102,-1.350515224,Boat or Ferry
Dormaa press,7.269165039,-2.868265867,Paper / Office Supplies Store
